phenocam_name,lat,lon,roi_type,roi_id,first_date,last_date,site_years
archboldavir,27.176064,-81.21958,AG,1000,2016-11-18,2020-05-19,3.3
archboldavirx,27.166627,-81.219828,AG,1000,2016-05-16,2020-05-19,3.8
archboldbahia,27.1656,-81.216112,AG,1000,2017-03-21,2020-05-19,3.1
archboldpnot,27.187948,-81.200345,AG,1000,2016-05-13,2020-05-19,3.8
archboldpnotx,27.180677,-81.20068,AG,1000,2016-05-16,2020-05-19,3.8
armoklahoma,36.6058,-97.4888,AG,1000,2003-04-05,2014-05-08,10.4
arsgacp1,31.5109,-83.6179,AG,1000,2016-05-10,2020-05-19,4
arsltarmdcr,39.0587,-75.8513,AG,1000,2017-05-11,2020-05-19,3
arsmnswanlake1,45.684508,-95.799703,AG,1000,2015-10-02,2020-05-19,4.6
arsmorris1,45.6167,-96.1269,AG,1000,2017-07-25,2020-05-16,2.8
arsmorris2,45.627,-96.127,AG,1000,2017-07-25,2020-05-16,2.8
arsope3ltar,39.0309,-76.8442,AG,1000,2017-04-11,2020-05-19,3.1
borgocioffinorth,40.5237,14.9574,AG,1000,2017-02-16,2020-05-19,3.1
borgocioffisouth,40.5237,14.9574,AG,1000,2017-03-15,2020-05-19,3
bouldinalfalfa,38.0985,-121.4993,AG,1000,2016-11-03,2020-05-19,3.4
bouldincorn,38.109,-121.535,AG,1000,2017-07-13,2020-05-19,2.6
burdettericea,35.80890278,-90.03270833,AG,1000,2015-06-19,2018-05-17,2.1
cafboydnorthltar01,46.755104,-117.126052,AG,1000,2017-09-14,2020-05-19,2.3
cafcookeastltar01,46.78152,-117.08205,AG,1000,2017-05-08,2020-05-19,2.9
cafcookwestltar01,46.784037,-117.09083,AG,1000,2017-06-25,2020-05-19,2.6
goodwater,39.22848,-92.11936,AG,1000,2015-09-26,2020-05-19,4.6
harvardfarmnorth,42.520465,-72.182242,AG,1000,2015-11-07,2020-05-19,4.5
harvardfarmsouth,42.522466,-72.182339,AG,1000,2015-11-07,2020-05-19,4.5
harvardgarden,42.5291,-72.1863,AG,1000,2016-06-12,2020-05-19,3.9
hawbeckereddy,40.6608,-77.848849,AG,1000,2015-09-23,2019-05-14,3.4
humnokericea,34.585192,-91.751684,AG,1000,2015-06-25,2020-05-19,4.4
humnokericec,34.588853,-91.7516729,AG,1000,2015-06-25,2020-05-19,4.7
jurong,31.8068,119.2173,AG,1000,2017-10-23,2020-05-22,2.5
kelloggcorn,42.437536,-85.3225472,AG,1000,2014-05-23,2019-10-05,4.9
kelloggcorn2,42.396,-85.3756,AG,1000,2015-07-16,2019-04-11,3.2
kelloggcorn3,42.39601,-85.37425,AG,1000,2015-07-16,2020-04-28,3.8
kelloggcornsoy,42.39601,-85.37529,AG,1000,2015-07-16,2018-08-21,2.2
kelloggcornsoy2,42.39576,-85.37425,AG,1000,2015-07-16,2020-05-19,4
kelloggmiscanthus,42.39528,-85.37561,AG,1000,2015-07-16,2020-05-19,3.9
kelloggoldfield,42.39601,-85.37456,AG,1000,2015-07-16,2020-05-10,4.3
kingmanfarm,43.1717,-70.9259,AG,1000,2016-07-15,2019-06-07,2.8
mandanh5,46.775423,-100.95109,AG,1000,2015-09-17,2020-05-19,4.7
mandani2,46.7614,-100.9257,AG,1000,2016-04-22,2020-05-19,3.9
manilacotton,35.8872,-90.1371,AG,1000,2016-06-21,2020-05-19,3.8
mead1,41.1651,-96.4766,AG,1000,2016-07-12,2020-05-19,3.9
mead2,41.1649,-96.4701,AG,1000,2016-07-12,2020-05-19,3.8
mead3,41.1797,-96.4397,AG,1000,2016-07-12,2020-05-19,3.9
meadpasture,41.1447,-96.4616,AG,1000,2016-07-15,2020-05-19,3.9
moorefields,43.1383,-70.9609,AG,1000,2016-07-06,2018-11-13,2.3
NEON.D04.LAJA.DP1.00033,18.021261,-67.076889,AG,1000,2016-12-15,2020-05-19,3
NEON.D06.KONA.DP1.00033,39.110446,-96.612935,AG,1000,2016-05-07,2020-05-19,3.9
NEON.D06.KONA.DP1.00042,39.110446,-96.612935,AG,1000,2016-05-07,2020-05-19,3.9
NEON.D10.STER.DP1.00033,40.461894,-103.02929,AG,1000,2016-12-18,2020-05-19,3.4
rosemountcons,44.6946,-93.0578,AG,1000,2017-05-02,2020-05-19,3.1
rosemountconv,44.691,-93.0576,AG,1000,2017-05-17,2020-05-19,3
rosemountnprs,44.6781,-93.0723,AG,1000,2015-10-29,2020-05-19,4.5
silverton,44.9986,-122.6948,AG,1000,2013-07-22,2020-04-04,6
southerngreatplains,36.6058,-97.4888,AG,1000,2012-05-16,2020-05-19,7.7
sweetbriargrass,37.5605,-79.0884,AG,1000,2016-03-23,2020-05-19,4
turkeypointenf02,42.6617,-80.5599,AG,1000,2012-05-01,2020-05-19,7.7
twitchell,38.10872778,-121.6530167,AG,1000,2011-11-16,2017-04-05,4
twitchellalfalfa,38.11542167,-121.64666623,AG,1000,2013-05-23,2016-09-22,2.7
tworfaa,31.4777,-96.8882,AG,1000,2018-04-20,2020-05-19,2.1
tworfpr,31.4802,-96.8826,AG,1000,2018-04-17,2020-05-19,2.1
uiefmaize,40.0628222,-88.1961277,AG,1000,2008-11-06,2020-05-19,11.5
uiefmiscanthus,40.06281,-88.198428,AG,1000,2008-11-12,2018-04-29,9.2
uiefmiscanthus,40.06281,-88.198428,AG,2000,2018-05-02,2020-05-19,2.1
uiefswitchgrass,40.064654,-88.196063,AG,1000,2008-10-22,2020-05-19,10.8
wolfesneckfarm,43.8305,-70.0715,AG,1000,2017-03-18,2020-05-19,2.4
